laeq,timestamp
51.28160060514024,2022-10-29 00:00:00
50.98706213339001,2022-10-29 00:10:00
50.986823721775856,2022-10-29 00:20:00
50.723150835819766,2022-10-29 00:30:00
50.50406583913391,2022-10-29 00:40:00
50.21947789892069,2022-10-29 00:50:00
49.92042217002157,2022-10-29 01:00:00
49.522771600166585,2022-10-29 01:10:00
49.45932952584193,2022-10-29 01:20:00
49.06246346078154,2022-10-29 01:30:00
48.94352148494539,2022-10-29 01:40:00
48.84881681237789,2022-10-29 01:50:00
48.34271235724912,2022-10-29 02:00:00
47.96264764117557,2022-10-29 02:10:00
47.79145191471329,2022-10-29 02:20:00
47.43608143623522,2022-10-29 02:30:00
47.15604150883349,2022-10-29 02:40:00
46.98237888744048,2022-10-29 02:50:00
46.71172688830462,2022-10-29 03:00:00
46.69209199101684,2022-10-29 03:10:00
46.53210878891917,2022-10-29 03:20:00
46.29032465059564,2022-10-29 03:30:00
46.283315616027615,2022-10-29 03:40:00
46.001736520216944,2022-10-29 03:50:00
45.902173086906615,2022-10-29 04:00:00
45.6436021467516,2022-10-29 04:10:00
45.45073392063307,2022-10-29 04:20:00
45.35785574565661,2022-10-29 04:30:00
44.88223927363891,2022-10-29 04:40:00
44.91772547707003,2022-10-29 04:50:00
44.76085232676101,2022-10-29 05:00:00
44.57031680776031,2022-10-29 05:10:00
44.5589024331285,2022-10-29 05:20:00
45.39082730950015,2022-10-29 05:30:00
45.16702174372758,2022-10-29 05:40:00
45.97521837731057,2022-10-29 05:50:00
46.3445191462711,2022-10-29 06:00:00
46.65016109616187,2022-10-29 06:10:00
47.69997567381476,2022-10-29 06:20:00
48.457936624217375,2022-10-29 06:30:00
49.1664676715084,2022-10-29 06:40:00
49.662135184120245,2022-10-29 06:50:00
49.857605409923046,2022-10-29 07:00:00
50.28692664120178,2022-10-29 07:10:00
51.23260502459591,2022-10-29 07:20:00
52.50069284924207,2022-10-29 07:30:00
53.04604877957823,2022-10-29 07:40:00
53.58057548822101,2022-10-29 07:50:00
54.27647149753801,2022-10-29 08:00:00
54.15931517806537,2022-10-29 08:10:00
54.02256055551177,2022-10-29 08:20:00
53.767141945108506,2022-10-29 08:30:00
54.34984243863984,2022-10-29 08:40:00
54.63384832781898,2022-10-29 08:50:00
53.99523661979297,2022-10-29 09:00:00
54.09714976562763,2022-10-29 09:10:00
54.10812316938056,2022-10-29 09:20:00
54.154749443367045,2022-10-29 09:30:00
54.350942986877776,2022-10-29 09:40:00
54.50932319014462,2022-10-29 09:50:00
54.42985221789301,2022-10-29 10:00:00
54.71214433008,2022-10-29 10:10:00
55.046792806403744,2022-10-29 10:20:00
55.02947754447124,2022-10-29 10:30:00
55.244203203181385,2022-10-29 10:40:00
55.97199289943135,2022-10-29 10:50:00
55.7906106691348,2022-10-29 11:00:00
55.13369439580863,2022-10-29 11:10:00
54.74553655598281,2022-10-29 11:20:00
54.83975173901514,2022-10-29 11:30:00
54.91258607374304,2022-10-29 11:40:00
54.84660383631786,2022-10-29 11:50:00
54.597235900265765,2022-10-29 12:00:00
55.110403586353,2022-10-29 12:10:00
55.0848378503725,2022-10-29 12:20:00
54.75996857404597,2022-10-29 12:30:00
54.90679501951736,2022-10-29 12:40:00
55.00277454338024,2022-10-29 12:50:00
55.10737927177456,2022-10-29 13:00:00
54.97109994680886,2022-10-29 13:10:00
54.99484363217732,2022-10-29 13:20:00
54.649743208213714,2022-10-29 13:30:00
54.79315024215036,2022-10-29 13:40:00
54.78077193322346,2022-10-29 13:50:00
54.49115882910401,2022-10-29 14:00:00
54.55256288535082,2022-10-29 14:10:00
54.53035426511536,2022-10-29 14:20:00
54.375652841562335,2022-10-29 14:30:00
54.54397747115338,2022-10-29 14:40:00
54.59535457254182,2022-10-29 14:50:00
54.63916643545241,2022-10-29 15:00:00
54.74414798805515,2022-10-29 15:10:00
54.43493731589047,2022-10-29 15:20:00
54.62525990460978,2022-10-29 15:30:00
54.80753027982632,2022-10-29 15:40:00
54.83401151680519,2022-10-29 15:50:00
54.867880446741786,2022-10-29 16:00:00
54.80572033376787,2022-10-29 16:10:00
54.36458555077654,2022-10-29 16:20:00
54.2225342993657,2022-10-29 16:30:00
54.41277900474705,2022-10-29 16:40:00
54.52644797991669,2022-10-29 16:50:00
54.42489758883713,2022-10-29 17:00:00
54.54597013540792,2022-10-29 17:10:00
54.6836648363276,2022-10-29 17:20:00
54.85135545011794,2022-10-29 17:30:00
55.19714591218579,2022-10-29 17:40:00
55.18922122058256,2022-10-29 17:50:00
55.424322090653234,2022-10-29 18:00:00
55.24795023000426,2022-10-29 18:10:00
55.10176970873415,2022-10-29 18:20:00
55.07163880588287,2022-10-29 18:30:00
55.065950926092256,2022-10-29 18:40:00
55.25120470841827,2022-10-29 18:50:00
55.038144392874514,2022-10-29 19:00:00
55.0900149560521,2022-10-29 19:10:00
54.94262180163916,2022-10-29 19:20:00
54.72322055009855,2022-10-29 19:30:00
54.89803510145236,2022-10-29 19:40:00
55.2128975333756,2022-10-29 19:50:00
55.05919369165399,2022-10-29 20:00:00
54.74635357158611,2022-10-29 20:10:00
54.65068174961438,2022-10-29 20:20:00
54.206079776657454,2022-10-29 20:30:00
53.90339388017149,2022-10-29 20:40:00
53.87640041733792,2022-10-29 20:50:00
53.787906948939735,2022-10-29 21:00:00
53.61533663417179,2022-10-29 21:10:00
53.594896913579255,2022-10-29 21:20:00
53.61001857437977,2022-10-29 21:30:00
53.415554938912926,2022-10-29 21:40:00
53.57488071087501,2022-10-29 21:50:00
53.46182267276427,2022-10-29 22:00:00
